NAME;TEAM;POS;STATUS;GM;P - YDS;PASS - TD;PASS - INT;RUSH - YDS;RUSH - TD;REC;REC - YDS;REC -TD;SCK;DEF - INT;FF;FR;PPG;TOTAL POINT
Josh Allen;BUF;QB;H;15;3778;27;15;413;13;0;0;0;0;0;0;0;23.23;348.42
Jalen Hurts;PHI;QB;H;15;3636;20;13;576;15;0;0;0;0;0;0;0;22.47;337.04
Christian McCaffrey;SF;RB;H;15;0;0;0;1395;14;63;537;7;0;0;0;0;22.31;315.2
Dak Prescott;DAL;QB;H;15;3892;30;7;237;2;0;0;0;0;0;0;0;19.83;297.38
Lamar Jackson;BAL;QB;H;15;3357;19;7;786;5;0;0;0;0;0;0;0;19.66;294.88
Brock Purdy;SF;QB;Q;15;4050;29;11;140;2;0;0;0;0;0;0;0;18.53;278
Jordan Love;GB;QB;H;15;3587;27;11;246;3;0;0;0;0;0;0;0;18.14;272.08
Patrick Mahomes;KC;QB;H;15;3938;26;14;387;0;0;0;0;0;0;0;0;17.88;268.22
Jared Goff;DET;QB;H;15;3984;27;10;21;2;0;0;0;0;0;0;0;17.16;257.46
Russell Wilson;DEN;QB;H;15;3070;26;8;341;3;0;0;0;0;0;0;0;17.13;256.9
Baker Mayfield;TB;QB;H;15;3598;26;8;157;1;0;0;0;0;0;0;0;16.77;251.62
Tua Tagovailoa;MIA;QB;H;15;4214;26;10;53;0;0;0;0;0;0;0;0;16.52;247.86
Trevor Lawrence;JAX;QB;H;15;3736;19;12;329;4;0;0;0;0;0;0;0;16.42;246.34
Sam Howell;WAS;QB;H;15;3624;19;17;265;5;0;0;0;0;0;0;0;16.23;243.46
Raheem Mostert;MIA;RB;H;15;0;0;0;1012;18;25;175;3;0;0;0;0;16.18;242.7
C.J. Stroud;HOU;QB;H;13;3631;20;5;143;3;1;0;0;0;0;0;0;18.58;241.54
Tyreek Hill;MIA;WR;H;14;0;0;0;15;0;106;1641;12;0;0;0;0;16.83;235.6
Justin Herbert;LAC;QB;IR;13;3134;20;7;228;3;1;10;0;0;0;0;0;17.94;233.16
Matthew Stafford;LAR;QB;H;14;3648;23;9;66;0;0;0;0;0;0;0;0;16.47;230.52
CeeDee Lamb;DAL;WR;H;15;0;0;0;101;2;109;1424;9;0;0;0;0;14.57;218.5
Joshua Dobbs;MIN;QB;H;13;2464;13;10;421;6;0;0;0;0;0;0;0;15.44;200.66
Derek Carr;NO;QB;H;15;3417;19;8;37;0;0;0;0;0;0;0;0;13.23;198.38
Justin Fields;CHI;QB;H;11;2146;15;9;585;3;0;0;0;0;0;0;0;17.85;196.34
Kyren Williams;LAR;RB;H;11;0;0;0;1057;9;30;192;3;0;0;0;0;17.72;194.9
Mike Evans;TB;WR;H;15;0;0;0;0;0;73;1163;13;0;0;0;0;12.95;194.3
Derrick Henry;TEN;RB;H;15;14;2;0;972;11;28;214;0;0;0;0;0;12.88;193.16
Travis Etienne Jr.;JAX;RB;H;15;0;0;0;849;9;51;430;1;0;0;0;0;12.79;191.9
Rachaad White;TB;RB;H;15;0;0;0;873;6;56;507;3;0;0;0;0;12.67;190
Geno Smith;SEA;QB;H;13;3145;17;9;94;1;1;-2;0;0;0;0;0;14.54;189
T.J. Watt;PIT;LB;H;15;0;0;0;0;0;0;0;0;17;1;4;3;11.88;181.6
A.J. Brown;PHI;WR;D;15;0;0;0;0;0;101;1394;7;0;0;0;0;11.96;179.4
James Cook;BUF;RB;H;15;0;0;0;1038;2;40;433;4;0;0;0;0;11.94;179.1
Foyesade Oluokun;JAX;LB;H;15;0;0;0;0;0;0;0;0;6.5;1;1;2;11.92;178.8
Jahmyr Gibbs;DET;RB;H;13;0;0;0;872;9;51;316;1;0;0;0;0;11.79;176.8
Joe Mixon;CIN;RB;H;15;0;0;0;858;8;47;348;1;0;0;0;0;11.77;176.6
Amon-Ra St. Brown;DET;WR;H;14;0;0;0;13;0;106;1281;8;0;0;1;0;12.53;175.4
Gardner Minshew;IND;QB;H;14;2940;14;9;88;3;0;0;0;0;0;0;0;12.46;174.4
Keenan Allen;LAC;WR;H;13;49;1;0;6;0;108;1243;7;0;0;0;0;13.14;170.86
Puka Nacua;LAR;WR;H;15;0;0;0;70;0;96;1327;5;0;0;0;0;11.31;169.7
Breece Hall;NYJ;RB;H;15;0;0;0;732;4;65;537;3;0;0;0;0;9.88;168.9
David Montgomery;DET;RB;H;12;0;0;0;910;11;16;117;0;0;0;0;0;13.11;168.7
Deebo Samuel;SF;WR;Q;13;0;0;0;179;5;53;834;6;0;0;0;0;12.87;167.3
Antoine Winfield Jr.;TB;S;H;15;0;0;0;0;0;0;0;0;5;3;5;4;10.99;164.9
DJ Moore;CHI;WR;H;15;0;0;0;21;1;83;1141;7;0;0;1;0;10.81;162.2
Desmond Ridder;ATL;QB;H;13;2528;10;10;193;5;1;-6;0;0;0;0;0;12.45;161.82
Gus Edwards;BAL;RB;H;15;0;0;0;694;12;12;180;0;0;0;0;0;10.76;161.4
Bijan Robinson;ATL;RB;H;15;0;0;0;873;4;48;373;3;0;0;0;0;10.71;160.6
Danielle Hunter;MIN;OLB;H;15;0;0;0;0;0;0;0;0;12.5;0;4;0;10.61;159.1
Brandon Aubrey;DAL;K;H;15;0;0;0;0;0;0;0;0;0;0;0;0;10.47;157
Ja'Marr Chase;CIN;WR;H;14;-7;0;0;-6;0;93;1156;7;0;0;0;0;10.34;156.72
